 Timestamp,FIT101,LIT101, AIT201,AIT202,AIT203,FIT201,DPIT301,FIT301,LIT301,AIT401,1/0
 28/12/2015 8:20:00 AM,2.590398,492.3866,260.9267,8.39163,331.069,2.427066,19.86683,2.206835,824.1877,148.808,1
 28/12/2015 8:20:01 AM,2.623387,491.9941,260.9267,8.39163,331.069,2.427066,19.8028,2.206835,824.1877,148.808,1
 28/12/2015 8:20:02 AM,2.652852,492.1118,260.9267,8.39163,331.069,2.42745,19.7964,2.207731,824.2678,148.808,1
 28/12/2015 8:20:03 AM,2.666944,492.3474,260.9267,8.39163,331.069,2.428475,19.7804,2.209525,823.9875,148.808,1
 28/12/2015 8:20:04 AM,2.667264,492.7399,260.9267,8.39163,331.069,2.430141,19.77079,2.209525,823.8673,148.808,1
 28/12/2015 8:20:05 AM,2.6394,492.9754,260.9267,8.39163,331.069,2.430141,19.77079,2.209525,823.8273,148.808,1
 28/12/2015 8:20:06 AM,2.624347,493.3679,260.9267,8.390348,331.069,2.427835,19.81241,2.209525,823.5869,148.808,1
 28/12/2015 8:20:07 AM,2.620504,493.5249,260.9267,8.390348,331.069,2.427835,19.83162,2.209525,823.5869,148.808,1
 28/12/2015 8:20:08 AM,2.614739,494.0352,260.9267,8.390028,331.069,2.427835,19.83162,2.209525,823.2264,148.808,1
 28/12/2015 8:20:09 AM,2.600006,494.0745,260.9267,8.390028,331.069,2.427835,19.74838,2.209525,823.3466,148.808,1
 28/12/2015 8:20:10 AM,2.578548,493.9567,260.9267,8.390028,331.069,2.427835,19.74838,2.209525,823.1864,148.808,1
 28/12/2015 8:20:11 AM,2.567338,493.8782,260.9267,8.390028,331.069,2.427835,19.74838,2.209525,823.0262,148.808,1
 28/12/2015 8:20:12 AM,2.547481,493.9174,260.9267,8.390028,331.069,2.427194,19.74838,2.209525,822.866,148.808,1
 28/12/2015 8:20:13 AM,2.535311,493.839,260.9267,8.390028,331.069,2.425272,19.74838,2.209525,822.8259,148.808,1
 28/12/2015 8:20:14 AM,2.513852,493.7212,260.9267,8.390028,331.069,2.424246,19.81881,2.209525,822.7858,148.808,1
 28/12/2015 8:20:15 AM,2.497198,493.6427,260.9267,8.390028,331.069,2.42399,19.83802,2.209525,822.5856,148.808,1
 28/12/2015 8:20:16 AM,2.479903,493.4464,260.9267,8.390028,331.069,2.420658,19.83802,2.209525,822.5856,148.808,1
 28/12/2015 8:20:17 AM,2.460045,493.6427,260.9267,8.390028,331.069,2.420658,19.83802,2.209525,822.5856,148.808,1
 28/12/2015 8:20:18 AM,2.443391,492.6614,260.9267,8.390028,331.069,2.420658,19.89244,2.209525,822.2651,148.808,1
 28/12/2015 8:20:19 AM,2.432822,493.0931,260.9267,8.390028,331.069,2.420658,19.84442,2.209525,822.4654,148.808,1
 28/12/2015 8:20:20 AM,2.432822,493.0931,260.9267,8.390028,331.069,2.420658,19.84442,2.209525,822.4654,148.808,1
 28/12/2015 8:20:21 AM,2.43026,493.5642,260.9267,8.390028,331.069,2.420658,19.79,2.209525,822.866,148.808,1
 28/12/2015 8:20:22 AM,2.43026,494.3885,260.9267,8.392912,331.069,2.422709,19.79,2.212856,822.6256,148.808,1
 28/12/2015 8:20:23 AM,2.457163,494.624,260.9267,8.392912,331.069,2.425656,19.79,2.212984,822.946,148.808,1
