 Timestamp,FIT101,LIT101, MV101,P101,P102, AIT201,AIT202,AIT203,FIT201, MV201,P203,P205,DPIT301,FIT301,LIT301,MV301,MV302, MV303,MV304,P302,AIT401,AIT402,FIT401,LIT401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,PIT501,PIT502,PIT503,FIT601,P602,1/0
 28/12/2015 8:20:00 AM,2.590398,492.3866,2,2,1,260.9267,8.39163,331.069,2.427066,2,2,2,19.86683,2.206835,824.1877,1,2,1,1,2,148.808,156.1651,1.715567,873.1607,7.872212,144.6296,260.9587,11.95847,1.724686,1.281927,0.7351407,0.3084905,250.2724,1.569859,189.1342,0.000128152,1,1
 28/12/2015 8:20:01 AM,2.623387,491.9941,2,2,1,260.9267,8.39163,331.069,2.427066,2,2,2,19.8028,2.206835,824.1877,1,2,1,1,2,148.808,156.1651,1.715439,873.5837,7.872212,144.6296,260.9587,11.88157,1.724686,1.28167,0.7351407,0.3084905,250.2724,1.569859,189.1342,0.000128152,1,1
 28/12/2015 8:20:02 AM,2.652852,492.1118,2,2,1,260.9267,8.39163,331.069,2.42745,2,2,2,19.7964,2.207731,824.2678,1,2,1,1,2,148.808,156.1651,1.713389,873.2761,7.872212,144.6296,260.9587,11.88157,1.724686,1.28167,0.7351407,0.3084905,250.2724,1.569859,189.1342,0.000128152,1,1
 28/12/2015 8:20:03 AM,2.666944,492.3474,2,2,1,260.9267,8.39163,331.069,2.428475,2,2,2,19.7804,2.209525,823.9875,1,2,1,1,2,148.808,156.1651,1.713389,873.1607,7.872212,144.6296,260.9587,11.88157,1.724686,1.28167,0.7351407,0.3084905,250.2724,1.569859,189.1342,0.000128152,1,1
 28/12/2015 8:20:04 AM,2.667264,492.7399,2,2,1,260.9267,8.39163,331.069,2.430141,2,2,2,19.77079,2.209525,823.8673,1,2,1,1,2,148.808,156.1651,1.712107,873.3914,7.872212,144.6296,261.0869,11.88157,1.723404,1.295632,0.7351407,0.3084905,250.4326,1.569859,189.1342,0.000128152,1,1
 28/12/2015 8:20:05 AM,2.6394,492.9754,2,2,1,260.9267,8.39163,331.069,2.430141,2,2,2,19.77079,2.209525,823.8273,1,2,1,1,2,148.808,156.242,1.712107,873.3914,7.872212,144.6296,261.0869,11.88157,1.723404,1.302037,0.7351407,0.3084905,250.5608,1.569859,189.3585,0.000128152,1,1
 28/12/2015 8:20:06 AM,2.624347,493.3679,2,2,1,260.9267,8.390348,331.069,2.427835,2,2,2,19.81241,2.209525,823.5869,1,2,1,1,2,148.808,156.3702,1.712107,873.7759,7.872212,144.6296,261.0869,11.88157,1.72302,1.294095,0.7351407,0.3084905,250.6248,1.569859,189.3585,0.000128152,1,1
 28/12/2015 8:20:07 AM,2.620504,493.5249,2,2,1,260.9267,8.390348,331.069,2.427835,2,2,2,19.83162,2.209525,823.5869,1,2,1,1,2,148.808,156.3702,1.712107,873.9682,7.872212,144.6296,261.0869,11.88157,1.72302,1.292174,0.7351407,0.3070813,250.6248,1.569859,189.3585,0.000128152,1,1
 28/12/2015 8:20:08 AM,2.614739,494.0352,2,2,1,260.9267,8.390028,331.069,2.427835,2,2,2,19.83162,2.209525,823.2264,1,2,1,1,2,148.808,156.3702,1.712107,874.2374,7.872212,144.6296,261.0869,11.88157,1.724814,1.28705,0.7351407,0.3070813,250.721,1.569859,189.3585,0.000128152,1,1
 28/12/2015 8:20:09 AM,2.600006,494.0745,2,2,1,260.9267,8.390028,331.069,2.427835,2,2,2,19.74838,2.209525,823.3466,1,2,1,1,2,148.808,156.3702,1.712107,874.6219,7.872212,144.6296,261.0869,11.88157,1.724814,1.281927,0.7373172,0.3070813,250.721,1.569859,189.3585,0.000128152,1,1
 28/12/2015 8:20:10 AM,2.578548,493.9567,2,2,1,260.9267,8.390028,331.069,2.427835,2,2,2,19.74838,2.209525,823.1864,1,2,1,1,2,148.808,156.3702,1.71262,874.6219,7.872212,144.6296,261.0869,11.88157,1.724814,1.290893,0.7379573,0.3070813,250.721,1.569859,189.5027,0.000128152,1,1
 28/12/2015 8:20:11 AM,2.567338,493.8782,2,2,1,260.9267,8.390028,331.069,2.427835,2,2,2,19.74838,2.209525,823.0262,1,2,1,1,2,148.808,156.3702,1.71262,874.6219,7.872212,144.6296,261.2471,11.88157,1.724814,1.291533,0.7379573,0.3070813,250.721,1.569859,189.5187,0.000128152,1,1
 28/12/2015 8:20:12 AM,2.547481,493.9174,2,2,1,260.9267,8.390028,331.069,2.427194,2,2,2,19.74838,2.209525,822.866,1,2,1,1,2,148.808,156.3702,1.713645,874.5065,7.872212,144.6296,261.2471,11.88157,1.724814,1.29512,0.7379573,0.3070813,250.721,1.569859,189.5187,0.000128152,1,1
 28/12/2015 8:20:13 AM,2.535311,493.839,2,2,1,260.9267,8.390028,331.069,2.425272,2,2,2,19.74838,2.209525,822.8259,1,2,1,1,2,148.808,156.2933,1.715311,874.545,7.872212,144.6296,261.2471,11.88157,1.724814,1.302037,0.7351407,0.3070813,250.721,1.601897,189.5187,0.000128152,1,1
 28/12/2015 8:20:14 AM,2.513852,493.7212,2,2,1,260.9267,8.390028,331.069,2.424246,2,2,2,19.81881,2.209525,822.7858,1,2,1,1,2,148.808,156.2933,1.715311,874.8911,7.872212,144.6296,261.2471,11.88157,1.724814,1.302037,0.7351407,0.3081703,250.721,1.649953,189.5187,0.000128152,1,1
 28/12/2015 8:20:15 AM,2.497198,493.6427,2,2,1,260.9267,8.390028,331.069,2.42399,2,2,2,19.83802,2.209525,822.5856,1,2,1,1,2,148.808,156.2933,1.715311,874.8911,7.872212,144.6296,261.2471,11.88157,1.724814,1.302037,0.7383414,0.3081703,250.721,1.649953,189.5187,0.000128152,1,1
